Dia:;2023-06-02;Hora:;16:12:19.563912
Repeticiones:;3;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb


Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
1;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.088;mH;21.04;Ohm;2023-06-02;16:17:46.212989
1;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;21.99;Ohm;2023-06-02;16:17:48.962778
2;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.363;mH;14.28;Ohm;2023-06-02;16:17:51.712666
2;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;14.30;Ohm;2023-06-02;16:17:54.353693
2;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;14.33;Ohm;2023-06-02;16:17:56.871971
2;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;14.42;Ohm;2023-06-02;16:17:59.391419
2;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;16.79;Ohm;2023-06-02;16:18:01.919687
2;150;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.633;mH;18.17;Ohm;2023-06-02;16:18:04.443043
2;180;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:18:16.487083
2;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.088;mH;21.04;Ohm;2023-06-02;16:18:19.008272
2;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;21.99;Ohm;2023-06-02;16:18:21.529607
0;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;14.28;Ohm;2023-06-02;16:31:19.009031
0;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.363;mH;14.30;Ohm;2023-06-02;16:31:21.545351
0;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;14.33;Ohm;2023-06-02;16:31:24.072299
0;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;14.42;Ohm;2023-06-02;16:31:26.599615
0;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;16.79;Ohm;2023-06-02;16:31:29.129305
0;150;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;18.17;Ohm;2023-06-02;16:31:31.653588
0;180;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.361;mH;19.60;Ohm;2023-06-02;16:31:34.176931
0;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:31:46.728090
0;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:32:04.303736
1;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:32:21.859511
1;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;error;error;error;error;2023-06-02;16:32:39.428731
1;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;14.33;Ohm;2023-06-02;16:32:41.952463
1;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;14.42;Ohm;2023-06-02;16:32:44.484807
1;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;16.79;Ohm;2023-06-02;16:32:47.009675
1;150;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;18.17;Ohm;2023-06-02;16:32:49.533507
1;180;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.361;mH;19.60;Ohm;2023-06-02;16:32:52.060824
1;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.088;mH;21.04;Ohm;2023-06-02;16:32:54.591239
1;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;21.98;Ohm;2023-06-02;16:32:57.109470
2;12;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;14.28;Ohm;2023-06-02;16:32:59.643314
2;15;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;14.30;Ohm;2023-06-02;16:33:02.169537
2;20;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;14.33;Ohm;2023-06-02;16:33:04.697466
2;30;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;14.42;Ohm;2023-06-02;16:33:07.218148
2;120;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;16.79;Ohm;2023-06-02;16:33:09.738976
2;150;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;18.17;Ohm;2023-06-02;16:33:12.267345
2;180;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.361;mH;19.60;Ohm;2023-06-02;16:33:14.902254
2;200;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;39.088;mH;21.04;Ohm;2023-06-02;16:33:17.431922
2;220;1;50.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;21.98;Ohm;2023-06-02;16:33:19.959361
