Dia:;2023-06-01;Fecha:;13:43:57.941431
Repeticiones:;3;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb


Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;15.57;Ohm;2023-06-01;13:43:57.886346
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;15.59;Ohm;2023-06-01;13:44:00.942855
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;15.62;Ohm;2023-06-01;13:44:04.126644
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.344;mH;15.71;Ohm;2023-06-01;13:44:07.300909
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;18.08;Ohm;2023-06-01;13:44:10.464257
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.636;mH;19.46;Ohm;2023-06-01;13:44:13.618700
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.363;mH;20.90;Ohm;2023-06-01;13:44:16.754616
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.090;mH;22.34;Ohm;2023-06-01;13:44:19.900869
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.912;mH;23.28;Ohm;2023-06-01;13:44:23.037111
1;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;15.57;Ohm;2023-06-01;13:44:26.154033
1;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.361;mH;15.59;Ohm;2023-06-01;13:44:29.162675
1;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;15.62;Ohm;2023-06-01;13:44:32.354150
1;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.343;mH;15.71;Ohm;2023-06-01;13:44:35.531981
1;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;18.08;Ohm;2023-06-01;13:44:38.692740
1;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.635;mH;19.46;Ohm;2023-06-01;13:44:41.847704
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.365;mH;15.57;Ohm;2023-06-01;13:47:19.569306
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.363;mH;15.59;Ohm;2023-06-01;13:47:22.571384
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.358;mH;15.62;Ohm;2023-06-01;13:47:25.757640
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.342;mH;15.71;Ohm;2023-06-01;13:47:28.937713
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;18.08;Ohm;2023-06-01;13:47:32.097954
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.635;mH;19.46;Ohm;2023-06-01;13:47:35.254384
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.362;mH;20.90;Ohm;2023-06-01;13:47:38.385950
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.089;mH;22.34;Ohm;2023-06-01;13:47:41.551435
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.911;mH;23.29;Ohm;2023-06-01;13:47:44.689852
1;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.364;mH;15.57;Ohm;2023-06-01;13:47:47.807855
1;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;15.59;Ohm;2023-06-01;13:47:50.817053
1;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;15.62;Ohm;2023-06-01;13:47:54.003834
1;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.342;mH;15.71;Ohm;2023-06-01;13:47:57.180515
1;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;18.08;Ohm;2023-06-01;13:48:00.336320
1;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;19.46;Ohm;2023-06-01;13:48:03.490696
1;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.362;mH;20.90;Ohm;2023-06-01;13:48:06.623700
1;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.089;mH;22.34;Ohm;2023-06-01;13:48:09.769288
1;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.911;mH;23.29;Ohm;2023-06-01;13:48:12.905516
2;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.361;mH;15.57;Ohm;2023-06-01;13:48:16.010455
2;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;15.59;Ohm;2023-06-01;13:48:19.009856
2;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.359;mH;15.62;Ohm;2023-06-01;13:48:22.188970
2;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.342;mH;15.71;Ohm;2023-06-01;13:48:25.368110
2;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.896;mH;18.08;Ohm;2023-06-01;13:48:28.524314
2;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.634;mH;19.46;Ohm;2023-06-01;13:48:31.681662
2;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.361;mH;20.90;Ohm;2023-06-01;13:48:34.809518
2;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.089;mH;22.34;Ohm;2023-06-01;13:48:37.955928
2;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.910;mH;23.29;Ohm;2023-06-01;13:48:41.097279
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.359;mH;15.57;Ohm;2023-06-01;13:51:58.215449
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.361;mH;15.59;Ohm;2023-06-01;13:52:01.220924
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;15.62;Ohm;2023-06-01;13:52:04.410516
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.342;mH;15.71;Ohm;2023-06-01;13:52:07.589582
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.895;mH;18.08;Ohm;2023-06-01;13:52:10.751481
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;15.57;Ohm;2023-06-01;13:55:41.842870
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.361;mH;15.59;Ohm;2023-06-01;13:55:44.853866
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.357;mH;15.62;Ohm;2023-06-01;13:55:48.042187
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.342;mH;15.71;Ohm;2023-06-01;13:55:51.221788
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.894;mH;18.08;Ohm;2023-06-01;13:55:54.388704
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.633;mH;19.46;Ohm;2023-06-01;13:55:57.545949
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.360;mH;20.90;Ohm;2023-06-01;13:56:00.681505
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.088;mH;22.34;Ohm;2023-06-01;13:56:10.382280
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.909;mH;23.29;Ohm;2023-06-01;13:56:13.524536
