Dia:;2023-06-07;Hora:;11:35:50.958980
Repeticiones:;3;Frecuencias:;[12, 15, 20, 30, 120, 150, 180, 200, 220]
Revision:;Capem_Cliente_R4.ipynb


Repetición;Frecuencia;En posicion;Posicion;Error SC;Presion;Nivel agua;T recipiente;T subenfriada;T Estimada;Inductancia;Unidad;Resistencia;unidad;Dia;Hora
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.367;mH;14.19;Ohm;2023-06-07;11:35:50.958980
0;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.367;mH;14.20;Ohm;2023-06-07;11:35:53.484157
0;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;14.24;Ohm;2023-06-07;11:35:56.003949
0;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.347;mH;14.33;Ohm;2023-06-07;11:35:58.524386
0;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.893;mH;16.71;Ohm;2023-06-07;11:36:01.045606
0;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.628;mH;18.10;Ohm;2023-06-07;11:36:03.564963
0;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.352;mH;19.54;Ohm;2023-06-07;11:36:06.088268
0;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.076;mH;20.99;Ohm;2023-06-07;11:36:08.608566
0;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.895;mH;21.94;Ohm;2023-06-07;11:36:11.130375
1;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.368;mH;14.19;Ohm;2023-06-07;11:36:13.651732
1;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.369;mH;14.20;Ohm;2023-06-07;11:36:16.171003
1;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;14.24;Ohm;2023-06-07;11:36:18.690416
1;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.347;mH;14.33;Ohm;2023-06-07;11:36:21.213700
1;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.893;mH;16.71;Ohm;2023-06-07;11:36:23.734546
1;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.628;mH;18.10;Ohm;2023-06-07;11:36:26.257366
1;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.352;mH;19.54;Ohm;2023-06-07;11:36:28.778155
1;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.075;mH;20.99;Ohm;2023-06-07;11:36:31.300030
1;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.895;mH;21.94;Ohm;2023-06-07;11:36:33.821766
2;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.368;mH;14.19;Ohm;2023-06-07;11:36:36.338053
2;15;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.367;mH;14.20;Ohm;2023-06-07;11:36:38.858549
2;20;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.362;mH;14.24;Ohm;2023-06-07;11:36:41.374726
2;30;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.347;mH;14.33;Ohm;2023-06-07;11:36:43.897083
2;120;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.893;mH;16.71;Ohm;2023-06-07;11:36:46.415418
2;150;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.628;mH;18.10;Ohm;2023-06-07;11:36:48.933188
2;180;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.352;mH;19.54;Ohm;2023-06-07;11:36:51.448635
2;200;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;39.076;mH;20.99;Ohm;2023-06-07;11:36:53.964864
2;220;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;38.895;mH;21.94;Ohm;2023-06-07;11:36:56.480325
0;12;1;0.0;0.0;119.0;720.0;300.0;290.0;293.0;40.367;mH;14.20;Ohm;2023-06-07;11:49:54.652727
